"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","salesblanket","public","pulse_mail","pulse_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse","id"
"postgresql","salesblanket","public","pulse_virtual_sales","pulse_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse","id"
"postgresql","salesblanket","public","pulse_tasks","pulse_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse","id"
"postgresql","salesblanket","public","pulse_ai","pulse_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse","id"
"postgresql","salesblanket","public","pulse_notebook","pulse_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse","id"
"postgresql","salesblanket","public","pulse_message_read_status","last_read_message_id",4,"uuid",NULL,"FOREIGN KEY","public","pulse_messages","id"
"postgresql","salesblanket","public","pulse_photo_annotations","photo_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse_photos","id"
"postgresql","salesblanket","public","pulse_lead_referrals","external_user_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse_external_users","id"
"postgresql","salesblanket","public","pulse_referral_status_history","referral_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse_lead_referrals","id"
"postgresql","salesblanket","public","pulse_email_attachments","email_id",2,"uuid",NULL,"FOREIGN KEY","public","pulse_mail","id"
"postgresql","salesblanket","public","address_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","addresses","address_type_id",20,"uuid",NULL,"FOREIGN KEY","public","address_types","id"
"postgresql","salesblanket","public","lead_staging","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","lead_processing_history","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","lead_processing_history","lead_id",2,"uuid",NULL,"FOREIGN KEY","public","lead_staging","id"
"postgresql","salesblanket","public","lead_tags","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","lead_tags","tag",3,"character varying",100,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","lead_tags","lead_id",2,"uuid",NULL,"UNIQUE",NULL,NULL,NULL
"postgresql","salesblanket","public","lead_tags","lead_id",2,"uuid",NULL,"FOREIGN KEY","public","lead_staging","id"
"postgresql","salesblanket","public","lead_assignment_rules","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","visitor_sessions","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","digital_leads","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","digital_leads","visitor_session_id",2,"uuid",NULL,"FOREIGN KEY","public","visitor_sessions","id"
"postgresql","salesblanket","public","social_media_interactions","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","social_media_interactions","digital_lead_id",6,"uuid",NULL,"FOREIGN KEY","public","digital_leads","id"
"postgresql","salesblanket","public","entity_matches","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","entity_matches","digital_lead_id",2,"uuid",NULL,"FOREIGN KEY","public","digital_leads","id"
"postgresql","salesblanket","public","sales_engine_items","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","sales_engine_item_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","sales_engine_item_zones","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","sales_engine_item_zones","item_id",2,"uuid",NULL,"FOREIGN KEY","public","sales_engine_items","id"
"postgresql","salesblanket","public","estimates","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","marketers","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","marketer_seo_tracking","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","marketer_seo_tracking","marketer_id",2,"uuid",NULL,"FOREIGN KEY","public","marketers","id"
"postgresql","salesblanket","public","labor_entries","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","labor_entries","item_id",3,"uuid",NULL,"FOREIGN KEY","public","sales_engine_items","id"
"postgresql","salesblanket","public","object_types","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","objects","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","objects","object_type_id",2,"uuid",NULL,"FOREIGN KEY","public","object_types","id"
"postgresql","salesblanket","public","object_components","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","object_components","object_id",2,"uuid",NULL,"FOREIGN KEY","public","objects","id"
"postgresql","salesblanket","public","object_components","parent_component_id",5,"uuid",NULL,"FOREIGN KEY","public","object_components","id"
"postgresql","salesblanket","public","object_media","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","object_media","object_id",2,"uuid",NULL,"FOREIGN KEY","public","objects","id"
"postgresql","salesblanket","public","object_media","component_id",3,"uuid",NULL,"FOREIGN KEY","public","object_components","id"
"postgresql","salesblanket","public","document_ai_models","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_goals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","neighborhood_goals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","notification_channels","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","notifications","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","team_goals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","zone_goals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","corporate","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","corporate_goals","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","corporate_goals","corporate_id",2,"uuid",NULL,"FOREIGN KEY","public","corporate","id"
"postgresql","salesblanket","public","corporate_owners","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","corporate_owners","corporate_id",2,"uuid",NULL,"FOREIGN KEY","public","corporate","id"
"postgresql","salesblanket","public","operations_users","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_users","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","location_users","location_id",2,"uuid",NULL,"FOREIGN KEY","public","locations","id"
"postgresql","salesblanket","public","notification_rules","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","notification_settings","id",1,"uuid",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","salesblanket","public","notification_settings","channel_id",4,"uuid",NULL,"FOREIGN KEY","public","notification_channels","id"
"postgresql","salesblanket","public","locations","corporate_id",9,"uuid",NULL,"FOREIGN KEY","public","corporate","id"
